"Step","Group: pbt - rollouts/epi_mean_reward","Group: pbt - rollouts/epi_mean_reward__MIN","Group: pbt - rollouts/epi_mean_reward__MAX"
"248000","80.08666666666666","58.92","105.19"
"249600","71.08999999999999","55.94","92.51"
"251200","52.379999999999995","11.64","88.57"
"252800","89.94","57.58","124.46"
"254400","59.926666666666655","10.43","96.55"
"256000","86.41000000000001","79.5","92.28"
"257600","42.18","5.08","63.55"
"259200","34.52","9.6","64.85"
"260800","44.86333333333334","12.47","65.23"
"262400","44.03666666666667","5.77","79.36"
"264000","67.00666666666666","39.72","82.92"
"265600","76.62333333333333","50.59","100.83"
"267200","54.333333333333336","9.24","84.25"
"268800","74.57000000000001","32.24","113.86"
"270400","57.883333333333326","43.57","69.57"
"272000","66.78666666666666","51.39","86.56"
"273600","94.55333333333333","82.47","116.84"
"275200","86.11","77.39","92.5"
"276800","63.11333333333332","14.44","90.55"
"278400","87.47333333333334","49.12","130.59"
"280000","71.56666666666668","64.31","78.04"
"281600","89.45333333333333","75.88","99.54"
"283200","83.67999999999999","64.13","99.53"
"284800","84.83999999999999","82.63","87.22"
"286400","53.21666666666666","37.79","65.35"
"288000","78.87","65.82","86.67"
"289600","73.91666666666667","32.36","94.91"
"291200","76.61","69.27","88.57"
"292800","46.54666666666666","7.18","88.17"
"294400","84.21","44.2","109.05"
"296000","58.85333333333333","38.16","85.93"
"297600","71.99333333333334","55.45","87.86"
"299200","69.21","63.56","76.43"
"300800","55.18333333333334","37.6","65.87"
"302400","71.66000000000001","39.68","89.27"
"304000","89.22666666666667","82.25","95.13"
"305600","91.87","71.43","102.64"
"307200","83.17333333333333","75.99","86.95"
"308800","61.550000000000004","55.03","69.98"
"310400","68.34666666666665","38.08","87.49"
"312000","88","78.24","104.09"
"313600","84.90333333333332","76.57","92.46"
"315200","69.21666666666665","66.63","70.77"
"316800","63.94","5.85","108.99"
"318400","52.44","8.91","96.14"
"320000","70.20666666666666","58.54","76.6"
"321600","56.68000000000001","42.01","67.39"
"323200","62.403333333333336","6.48","95.72"
"324800","78.00333333333333","70.98","86.45"
"326400","72.01","70.81","72.78"
"328000","73.76333333333334","65.79","87.66"
"329600","79.55333333333333","69.15","96.31"
"331200","37.666666666666664","8.2","58.56"
"332800","82.48333333333333","76.82","87.13"
"334400","61.926666666666655","33.11","108.84"
"336000","57.78","46.53","70.62"
"337600","84.48","80.02","89.14"
"339200","80.05333333333333","57.57","101.72"
"340800","87.55","78.58","95.8"
"342400","81.47333333333333","69.04","103.1"
"344000","70.45333333333333","52.66","84.21"
"345600","81.93666666666667","78.12","84.05"
"347200","52.656666666666666","40.82","67.12"
"348800","61.93333333333334","11.06","89.57"
